Parameters;All_inputs;Llama-70;Llama-8;Gemma3;Codestral;QwenCoder;QwenCoderMedium;QwenCoderSmall;7;2;1;3;8;0;5;4;6;9
2;50;;;;;;;;47;12;48;46;47;11;14;48;47;47
3;50;;;;;;;;46;10;47;44;46;5;11;47;46;46
4;50;;;;;;;;50;15;46;50;50;8;19;46;50;50
5;50;;;;;;;;50;13;42;50;50;7;15;42;50;50
6;50;;;;;;;;50;14;45;50;50;8;19;45;50;50
7;50;;;;;;;;49;17;45;49;49;7;21;45;49;49
8;50;;;;;;;;49;8;42;49;49;2;13;44;49;49
9;50;;;;;;;;50;28;42;50;50;28;30;43;50;50
10;50;;;;;;;;50;31;43;50;50;31;33;45;50;50
11;50;;;;;;;;50;34;47;49;50;32;34;48;50;50
12;50;;;;;;;;49;39;46;49;49;35;40;46;49;49
