Parameters;All_inputs;Llama-70;Llama-8;Gemma3;Codestral;QwenCoder;QwenCoderMedium;QwenCoderSmall;0;8;5;1;4;6;9;2;3;7
2;50;;;;;;;;11;47;46;42;13;47;47;12;48;47
3;50;;;;;;;;6;46;46;39;10;46;46;10;47;46
4;50;;;;;;;;8;50;50;40;18;50;50;15;46;50
5;50;;;;;;;;7;50;50;45;15;50;50;13;42;50
6;50;;;;;;;;8;50;50;49;17;50;50;14;45;50
7;50;;;;;;;;8;49;49;49;21;49;49;17;45;49
8;50;;;;;;;;2;49;49;48;12;49;49;9;44;49
9;50;;;;;;;;28;50;50;49;30;50;50;28;42;50
10;50;;;;;;;;31;50;50;49;33;50;50;31;45;50
11;50;;;;;;;;32;50;50;49;34;50;50;34;48;50
12;50;;;;;;;;37;49;49;49;40;49;49;39;46;49
