Parameters;All_inputs;Llama-70;Llama-8;Gemma3;Codestral;QwenCoder;QwenCoderMedium;QwenCoderSmall;4;9;6;7;0;3;8;2;1;5
2;50;;;;;;;;46;47;48;47;3;43;47;42;11;46
3;50;;;;;;;;44;46;47;46;0;41;46;39;6;46
4;50;;;;;;;;50;50;46;50;0;49;50;40;8;50
5;50;;;;;;;;50;50;42;50;0;50;50;45;7;50
6;50;;;;;;;;50;50;45;50;3;50;50;49;8;50
7;50;;;;;;;;49;49;45;49;1;49;49;49;8;49
8;50;;;;;;;;49;49;44;49;0;49;49;48;2;49
9;50;;;;;;;;50;50;43;50;26;50;50;49;28;50
10;50;;;;;;;;50;50;45;50;31;50;50;49;31;50
11;50;;;;;;;;49;50;48;50;30;49;50;49;32;50
12;50;;;;;;;;49;49;46;49;34;49;49;49;37;49
