Prompt;QwenCoder
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The number of stops where PTO is engaged must not exceed the overall stop count.
The payload cannot exceed the capacity of axle 3.";"
# The number of stops where PTO is engaged must not exceed the overall stop count.
def r1(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops

# The payload cannot exceed the capacity of axle 3.
def r2(payload: float, axle3_capacity: float) -> bool:
    return payload <= axle3_capacity"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Stops with PTO engaged cannot outnumber the total stops.";"
# Stops with PTO engaged cannot outnumber the total stops.
def r1(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The load carried by axle 1 must be smaller than or equal to the load on axle 3.
Total operation time should be at least the sum of PTO, idle, and driving times.";"
# The load carried by axle 1 must be smaller than or equal to the load on axle 3.
def r1(load_axle_1: float, load_axle_3: float) -> bool:
    return load_axle_1 <= load_axle_3

# Total operation time should be at least the sum of PTO, idle, and driving times.
def r2(total_operation_time: float, pto_time: float, idle_time: float, driving_time: float) -> bool:
    return total_operation_time >= (pto_time + idle_time + driving_time)"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: PTO operation time must be less than or equal to the total operation time.
Axle 1's load cannot exceed Axle 3's load.";"
# PTO operation time must be less than or equal to the total operation time.
def r1(pto_time: float, total_time: float) -> bool:
    return pto_time <= total_time

# Axle 1's load cannot exceed Axle 3's load.
def r2(axle1_load: float, axle3_load: float) -> bool:
    return axle1_load <= axle3_load"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The payload cannot exceed the capacity of axle 3.";"
# The payload cannot exceed the capacity of axle 3.
def r1(payload: float, axle3_capacity: float) -> bool:
    return payload <= axle3_capacity"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Driving time should be less than or equal to the total operation time.";"
# Driving time should be less than or equal to the total operation time.
def r3(driving_time: float, total_operation_time: float) -> bool:
    return driving_time <= total_operation_time"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The payload must always be smaller than or equal to the load on axle 2.
The payload must always be smaller than or equal to the load on axle 3.";"
# The payload must always be smaller than or equal to the load on axle 2.
def r1(payload: float, load_on_axle_2: float) -> bool:
    return payload <= load_on_axle_2

# The payload must always be smaller than or equal to the load on axle 3.
def r2(payload: float, load_on_axle_3: float) -> bool:
    return payload <= load_on_axle_3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: PTO-engaged stops cannot exceed the total number of stops.
The load carried by axle 1 must be smaller than or equal to the load on axle 3.";"
# PTO-engaged stops cannot exceed the total number of stops.
def r1(pto_stops: int, total_stops: int) -> bool:
    return pto_stops <= total_stops

# The load carried by axle 1 must be smaller than or equal to the load on axle 3.
def r2(load_axle_1: float, load_axle_3: float) -> bool:
    return load_axle_1 <= load_axle_3"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: Axle 2's load must always be equal to or greater than the payload.";"
# Axle 2's load must always be equal to or greater than the payload.
def r1(axle2_load: float, payload: float) -> bool:
    return axle2_load >= payload"
"System Message:
You are a logician with a background in mathematics that translates natural language
reasoning text to Python3 code so that these natural language reasoning problems can be solved.
During the translation, please pay close attention to defining variables and rules.
Do not add any comments from you.
Be guided by the following example:
Example input text:
Textual context: A vehicle operates over a A param between 20 and 110 in a typical day.
A vehicle operates for a B param between 2 and 10 in a typical day.

Example Python3 code:
# A vehicle operates over a A param between 20 and 110 in a typical day.
def r1(a: float) -> bool:
    return 20 <= a <= 110

# A vehicle operates for a B param between 2 and 10 in a typical day.
def r2(b: float) -> bool:
    return 2 <= b <= 10


Input text:
Textual context: The load on axle 1 must not surpass the load on axle 2.
The weight on axle 1 cannot surpass the weight on axle 3.";"
# The load on axle 1 must not surpass the load on axle 2.
def r1(axle1_load: float, axle2_load: float) -> bool:
    return axle1_load <= axle2_load

# The weight on axle 1 cannot surpass the weight on axle 3.
def r2(axle1_weight: float, axle3_weight: float) -> bool:
    return axle1_weight <= axle3_weight"
